Playlist ID,Original Video Title,Round,Player 1,Deck 1,Player 2,Deck 2
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Round 4: Ragnarok vs Dream's Future,Round 4,Ragnarok,Unknown,Dream's Future,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Round 5: Alignments vs snipehunters,Round 5,Alignments,Unknown,snipehunters,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Semi-Final 2: Brotdose vs Ragnarok,Final,Brotdose,Unknown,Ragnarok,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 1: Yuna D. vs Ruben P.,Round 1,Yuna D.,Unknown,Ruben P.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 2: Isaias E. vs Damien V.,Round 2,Isaias E.,Unknown,Damien V.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 3: Keitaro Y. vs Wannako T.,Round 3,Keitaro Y.,Unknown,Wannako T.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 4: Felipe B. vs Shane T.,Round 4,Felipe B.,Unknown,Shane T.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 5: Tom K. vs Dino S.,Round 5,Tom K.,Unknown,Dino S.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 6 - Charley F. vs Julien K.,Round 6,Charley F.,Unknown,Julien K.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Round 7 - Wilfredo F. vs Johannes B.,Round 7,Wilfredo F.,Unknown,Johannes B.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 8 Match 1 - Yuna D. vs Julien K.,Top 8,Yuna D.,Unknown,Julien K.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 8 - Match 2: Shane T. vs Wilfredo F.,Top 8,Shane T.,Unknown,Wilfredo F.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 8 - Match 3: Tom K. vs Felipe B.,Top 8,Tom K.,Unknown,Felipe B.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 8 - Match 4: Roselle T. vs Isaias E.,Top 8,Roselle T.,Unknown,Isaias E.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 4 - Match 1: Julien K. vs Wilfredo F.,Top 4,Julien K.,Unknown,Wilfredo F.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 Top 4 - Match 2: Roselle T. vs Tom K.,Top 4,Roselle T.,Unknown,Tom K.,Unknown
