is_match,tournament,round,player_1,deck_1,player_2,deck_2,playlist_id,original_title
True,WQP Playoff Berlin 2024,Round 2,Pierre Burgals,Unknown,Gabriel Netz,Unknown,PLIm0Rt8gzRbsuyvjSAe5Zf9_CxIvEqsH2,WQP Playoff Berlin 2024 - Round 2 - Pierre Burgals vs. Gabriel Netz
True,WQP Playoff Berlin 2024,Round 1,Anthony Lopes,Unknown,Baptiste Derouin,Unknown,PLIm0Rt8gzRbsuyvjSAe5Zf9_CxIvEqsH2,WQP Playoff Berlin 2024 - Round 1 - Anthony Lopes vs. Baptiste Derouin
True,2018 YCS London,Final,Mirko Zanelli,Unknown,Ping Xiao,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Final - Mirko Zanelli vs Ping Xiao
True,2018 YCS London,Top 8,Andre Delury,Unknown,Bohdan Temnyk,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Top 8 - Andre Delury vs Bohdan Temnyk
True,2018 YCS London,Top 4,Ping Xiao,Unknown,Tayfun Bayraktar,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Top 4 - Ping Xiao vs Tayfun Bayraktar
True,2018 YCS London,Top 16,Ping Xiao,Unknown,Isaia Modena,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Top 16 - Ping Xiao vs Isaia Modena
True,2018 YCS London,Top 32,Benjamin Robinson,Unknown,Zhengyang Chen,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Top 32 - Benjamin Robinson vs Zhengyang Chen
True,2018 YCS London,Round 11,Thomas Rose,Unknown,Michael Forner,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 11 - Thomas Rose vs Michael Forner
True,2018 YCS London,Round 10,Malvin Dionisio,Unknown,Niklas Seidel,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 10 - Malvin Dionisio vs Niklas Seidel
True,2018 YCS London,Round 8,Usman Mannan,Unknown,Anthony Allsop,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 8 - Usman Mannan vs Anthony Allsop
True,2018 YCS London,Round 9,Erikos Bek,Unknown,Jeremy Hill,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 9 - Erikos Bek vs Jeremy Hill
True,2018 YCS London,Round 7,Siemen Kiebooms,Unknown,Nick Burgess,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 7 - Siemen Kiebooms vs Nick Burgess
True,2018 YCS London,Round 5,Walid Ben-Abbes,Unknown,Joshua Oosters,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 5 - Walid Ben-Abbes vs Joshua Oosters
True,2018 YCS London,Round 3,Ash Seaman,Unknown,Tim Bayer,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 3 - Ash Seaman vs Tim Bayer
True,2018 YCS London,Round 6,Lukas Prinz,Unknown,Jake Sault,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 6 - Lukas Prinz vs Jake Sault
True,2018 YCS London,Round 4,Alec Drinkwater,Unknown,Yuqi Qin,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 4 - Alec Drinkwater vs Yuqi Qin
True,2018 YCS London,Round 2,Federico Mecozzi,Unknown,Bruce Wentzel,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 2 - Federico Mecozzi vs Bruce Wentzel
True,2018 YCS London,Round 1,Jesse Kotton,Unknown,Matthew Thompstone,Unknown,PLIm0Rt8gzRbvdbAcXuDGBPDQ24dW5wjKc,2018 YCS London: Yu-Gi-Oh Championship Series - Round 1 - Jesse Kotton vs Matthew Thompstone
